3-Li-6 (n,a)
# Evaluated data (n,a)
#     9.40E+02 (+/-  4.00E+00)
# no EXFOR data


4-Be-7 (n,a)
# Evaluated data (n,a)
#     1.00E-01 (+/-       NAN)
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#     1.00E-04 (+/-       NAN)
# ------ EXFOR data ------
# ------ MXW/SPA data ------
  dataset firstauthor  year     sf4  sf8 sf9       en  den    ydata  yddata
 20896002    P.Bassi+  1963  2-HE-4  MXW  -- 2.53E-02  NAN 1.00E-04     NAN
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year     sf4 sf8    sf9       en  den    ydata  yddata
 V1001016  S.F.Mughabghab  2006  2-HE-4  --  RECOM 2.53E-02  NAN 1.00E-01     NAN



5-B-0 (n,a)
# no Evaluated data
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#          NAN (+/-       NAN)
# ------ EXFOR data ------
  dataset     firstauthor  year sf4 sf8 sf9       en  den    ydata   yddata
 21196002   P.A.Egelstaff  1957  --  --  -- 2.53E-02  NAN 7.71E+02 5.00E+00
 20105004  J.Als-nielsen+  1964  --  --  -- 2.53E-02  NAN 7.59E+02 2.00E+00
 20192002   A.Prosdocimi+  1967  --  --  -- 2.47E-02  NAN 7.67E+02 3.29E+00
 20192002   A.Prosdocimi+  1967  --  --  -- 2.55E-02  NAN 7.43E+02 3.38E+00
 20192005   A.Prosdocimi+  1967  --  --  -- 2.53E-02  NAN 7.61E+02 2.05E+00
# ------ MXW/SPA data ------
  dataset  firstauthor  year sf4  sf8 sf9       en  den    ydata   yddata
 21739002  C.H.Collie+  1956  --  MXW  -- 2.53E-02  NAN 7.61E+02 2.00E+00



5-B-10 (n,a)
# Evaluated data (n,a)
#     3.84E+03 (+/-  9.00E+00)
# EXFOR data mean
#     3.81E+03 (+/-  2.72E+01)
# EXFOR MXW/SPA data mean
#          NAN (+/-       NAN)
# ------ EXFOR data ------
  dataset    firstauthor  year     sf4 sf8 sf9       en  den    ydata   yddata
 20192003  A.Prosdocimi+  1967  3-LI-7  --  -- 2.47E-02  NAN 3.71E+03 4.12E+01
 20192003  A.Prosdocimi+  1967  3-LI-7  --  -- 2.55E-02  NAN 3.86E+03 4.62E+01
 20192004  A.Prosdocimi+  1967  3-LI-7  --  -- 2.53E-02  NAN 3.84E+03 1.16E+01
 20192004  A.Prosdocimi+  1967  3-LI-7  --  -- 2.53E-02  NAN 3.84E+03 9.78E+00
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year     sf4 sf8    sf9       en  den    ydata   yddata
 V1001021  S.F.Mughabghab  2006  3-LI-7  --  RECOM 2.53E-02  NAN 3.84E+03 9.00E+00



8-O-17 (n,a)
# Evaluated data (n,a)
#     2.35E-01 (+/-  1.00E-02)
# EXFOR data mean
#     2.46E-01 (+/-  7.33E-03)
# EXFOR MXW/SPA data mean
#     2.82E-01 (+/-  5.78E-02)
# ------ EXFOR data ------
  dataset  firstauthor  year     sf4 sf8 sf9       en  den    ydata   yddata
 22399003  C.Wagemans+  1997  6-C-14  --  -- 2.53E-02  NAN 2.36E-01 5.00E-03
 22420002  J.Wagemans+  1998  6-C-14  --  -- 2.53E-02  NAN 2.44E-01 7.00E-03
 22496004  J.Wagemans+  2000  6-C-14  --  -- 2.53E-02  NAN 2.57E-01 1.00E-02
# ------ MXW/SPA data ------
  dataset     firstauthor  year     sf4  sf8 sf9       en  den    ydata   yddata
 11437002        A.N.May+  1947  6-C-14  MXW  -- 2.53E-02  NAN 4.60E-01 1.10E-01
 11275003      G.C.Hanna+  1961  6-C-14  MXW  -- 2.53E-02  NAN 2.35E-01 5.00E-03
 41309002  YU.M.Gledenov+  1997  6-C-14  MXW  -- 2.53E-02  NAN 2.33E-01 1.20E-02
 41337002  Yu.M.Gledenov+  1997  6-C-14  MXW  -- 2.53E-02  NAN 2.33E-01 1.20E-02
 11422002       E.J.Seppi  1956  6-C-14  SPA  -- 2.53E-02  NAN 2.50E-01 1.50E-01
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year     sf4 sf8    sf9       en  den    ydata   yddata
 V1001041  S.F.Mughabghab  2006  6-C-14  --  RECOM 2.53E-02  NAN 2.35E-01 1.00E-02



10-Ne-21 (n,a)
# Evaluated data (n,a)
#     1.80E-04 (+/-  7.00E-05)
# EXFOR data mean
#     9.60E+01 (+/-  3.30E+01)
# EXFOR MXW/SPA data mean
#     5.00E-01 (+/-  8.00E-05)
# ------ EXFOR data ------
  dataset   firstauthor  year     sf4 sf8 sf9       en  den    ydata   yddata
 40794002  A.I.Abramov+  1961  8-O-18  --  -- 2.53E-02  NAN 9.60E+01 3.30E+01
# ------ MXW/SPA data ------
  dataset     firstauthor  year     sf4  sf8 sf9       en  den    ydata   yddata
 11366002    E.F.Bennett+  1968  8-O-18  MXW  -- 2.53E-02  NAN 1.50E+00      NAN
 41309004  YU.M.Gledenov+  1997  8-O-18  MXW  -- 2.53E-02  NAN 1.80E-04 9.00E-05
 41337004  Yu.M.Gledenov+  1997  8-O-18  MXW  -- 2.53E-02  NAN 1.80E-04 7.00E-05
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year     sf4 sf8    sf9       en  den    ydata   yddata
 V1001053  S.F.Mughabghab  2006  8-O-18  --  RECOM 2.53E-02  NAN 1.80E-04 7.00E-05



11-Na-22 (n,a)
# Evaluated data (n,a)
#     2.62E+02 (+/-  5.00E+01)
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#          NAN (+/-       NAN)
# ------ EXFOR data ------
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year     sf4 sf8    sf9       en  den    ydata   yddata
 V1001058  S.F.Mughabghab  2006  9-F-19  --  RECOM 2.53E-02  NAN 2.62E+02 5.00E+01



13-Al-26 (n,a)
# Evaluated data (n,a)
#     3.35E-01 (+/-  1.40E-02)
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#          NAN (+/-       NAN)
# ------ EXFOR data ------
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year       sf4 sf8    sf9       en  den    ydata   yddata
 V1001075  S.F.Mughabghab  2006  11-NA-23  --  RECOM 2.53E-02  NAN 3.35E-01 1.40E-02



16-S-0 (n,a)
# no Evaluated data
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#          NAN (+/-       NAN)
# ------ EXFOR data ------
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year sf4 sf8    sf9       en  den    ydata   yddata
 V1001092  S.F.Mughabghab  2006  --  --  RECOM 2.53E-02  NAN 8.00E-03 4.00E-03



16-S-32 (n,a)
# Evaluated data (n,a)
#     7.00E-03 (+/-  4.00E-03)
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#     4.17E-03 (+/-  1.27E-03)
# ------ EXFOR data ------
# ------ MXW/SPA data ------
  dataset            firstauthor  year       sf4  sf8 sf9       en  den    ydata   yddata
 11422003              E.J.Seppi  1956  14-SI-29  MXW  -- 2.53E-02  NAN 1.80E-03 1.00E-03
 21340002             F.Muennich  1958  14-SI-29  MXW  -- 2.53E-02  NAN 6.80E-03 2.30E-03
 31032002  J.Benisz A.Jasielska+  1965  14-SI-29  MXW  -- 2.53E-02  NAN 3.90E-03 5.00E-04
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year       sf4 sf8    sf9       en  den    ydata   yddata
 V1001093  S.F.Mughabghab  2006  14-SI-29  --  RECOM 2.53E-02  NAN 7.00E-03 4.00E-03



16-S-33 (n,a)
# Evaluated data (n,a)
#     1.15E+02 (+/-  1.00E+01)
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#     1.20E-01 (+/-  4.40E-02)
# ------ EXFOR data ------
# ------ MXW/SPA data ------
  dataset            firstauthor  year       sf4  sf8 sf9       en  den    ydata   yddata
 11422004              E.J.Seppi  1956  14-SI-30  MXW  -- 2.53E-02  NAN 8.00E-03      NAN
 21340003             F.Muennich  1958  14-SI-30  MXW  -- 2.53E-02  NAN 1.80E-01 8.00E-02
 31032003  J.Benisz A.Jasielska+  1965  14-SI-30  MXW  -- 2.53E-02  NAN 1.51E-01 2.20E-02
 21302008              M.Asghar+  1978  14-SI-30  MXW  -- 2.50E-02  NAN 1.40E-01 3.00E-02
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year       sf4 sf8    sf9       en  den    ydata   yddata
 V1001096  S.F.Mughabghab  2006  14-SI-30  --  RECOM 2.53E-02  NAN 1.15E-01 1.00E-02



