       target reaction    Eval.  Eval-err  Eval(MXW)  Eval(MXW)-err  EXFOR-data-mean  EXFOR-mean-err  MXW-data-mean  MXW-mean-err
        1-H-1    (n,g)      NAN       NAN   3.33E-01       7.00E-04         3.01E+00        2.36E-01       3.11E-01      6.23E-03
        1-H-2    (n,g) 5.08E-04  1.50E-05        NAN            NAN         4.99E-04        1.82E-05       6.30E-04      6.10E-05
       2-He-3    (n,g) 5.50E-05  3.00E-06        NAN            NAN         4.05E-05        7.93E-06       6.88E-05      1.50E-05
       2-He-4    (n,g)      NAN       NAN        NAN            NAN              NAN             NAN            NAN           NAN
       3-Li-6    (n,g) 3.93E-02  7.00E-04        NAN            NAN         3.93E-02        7.00E-04       3.81E-02      7.26E-03
       3-Li-7    (n,g) 4.42E-02  5.00E-04        NAN            NAN         4.43E-02        5.00E-04       4.01E-02      7.60E-03
       4-Be-7    (n,g)      NAN       NAN        NAN            NAN              NAN             NAN       1.55E-01           NAN
       4-Be-9    (n,g) 8.27E-03  1.30E-04        NAN            NAN         8.56E-03        5.16E-04       1.03E-02      2.93E-03
      4-Be-10    (n,g) 1.00E-03       NAN        NAN            NAN              NAN             NAN            NAN           NAN
       5-B-10    (n,g) 3.94E-01  1.50E-02        NAN            NAN         3.94E-01        1.50E-02       3.95E-01      1.20E-01
       5-B-11    (n,g) 9.00E-03  2.00E-04        NAN            NAN         7.05E-03        1.55E-03            NAN           NAN
       6-C-12    (n,g)      NAN       NAN   3.87E-03       3.00E-05         3.87E-03        3.00E-05       3.54E-03      2.07E-04
       6-C-13    (n,g) 1.50E-03  2.00E-05        NAN            NAN         1.51E-03        4.40E-05       1.01E-03      1.88E-04
       6-C-14    (n,g) 1.00E-06       NAN        NAN            NAN              NAN             NAN            NAN           NAN
       7-N-14    (n,g) 8.01E-02  6.00E-04        NAN            NAN         8.00E-02        4.00E-04       9.02E-02      6.17E-03
       7-N-15    (n,g) 2.40E-05  8.00E-06        NAN            NAN         3.96E-05        1.40E-06            NAN           NAN
       8-O-16    (n,g) 1.90E-04  1.90E-05        NAN            NAN         1.86E-04        2.95E-05       1.82E-04      1.75E-05
       8-O-17    (n,g) 5.38E-04  6.50E-05        NAN            NAN         7.03E-04        6.17E-05       5.38E-04      6.50E-05
