1-H-1 (n,el)
# Evaluated data (n,el)
#     2.05E+01 (+/-  1.40E-02)
# EXFOR data mean
#     5.70E+01 (+/-  5.70E-01)
# EXFOR MXW/SPA data mean
#     1.60E+01 (+/-       NAN)
# ------ EXFOR data ------
  dataset firstauthor  year    sf4 sf8 sf9       en  den    ydata   yddata
 21274007  U.Schmidt+  1966  1-H-1  --  -- 2.55E-02  NAN 5.70E+01 5.70E-01
# ------ MXW/SPA data ------
  dataset firstauthor  year    sf4  sf8 sf9       en  den    ydata  yddata
 12649002   D.M.Yost+  1936  1-H-1  MXW  -- 2.53E-02  NAN 1.60E+01     NAN
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year    sf4 sf8    sf9       en  den    ydata   yddata
 V1001002  S.F.Mughabghab  2006  1-H-1  --  RECOM 2.53E-02  NAN 2.05E+01 1.40E-02



1-H-2 (n,el)
# Evaluated data (n,el)
#     3.39E+00 (+/-  1.20E-02)
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#          NAN (+/-       NAN)
# ------ EXFOR data ------
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year    sf4 sf8    sf9       en  den    ydata   yddata
 V1001003  S.F.Mughabghab  2006  1-H-2  --  RECOM 2.53E-02  NAN 3.39E+00 1.20E-02



2-He-0 (n,el)
# no Evaluated data
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#     7.80E-01 (+/-  8.00E-02)
# ------ EXFOR data ------
# ------ MXW/SPA data ------
  dataset firstauthor  year     sf4  sf8 sf9       en  den    ydata   yddata
 11181007  S.P.Harris  1950  2-HE-0  MXW  -- 2.53E-02  NAN 7.80E-01 8.00E-02
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year     sf4 sf8    sf9       en  den    ydata   yddata
 V1001005  S.F.Mughabghab  2006  2-HE-0  --  RECOM 2.53E-02  NAN 7.90E-01 2.00E-02



2-He-3 (n,el)
# Evaluated data (n,el)
#     3.10E+00 (+/-  1.30E-01)
# EXFOR data mean
#     3.30E+00 (+/-  2.00E-01)
# EXFOR MXW/SPA data mean
#          NAN (+/-       NAN)
# ------ EXFOR data ------
  dataset      firstauthor  year     sf4 sf8 sf9       en  den    ydata   yddata
 41630006  V.P.Alfimenkov+  1982  2-HE-3  --  -- 2.53E-02  NAN 3.30E+00 2.00E-01
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year     sf4 sf8    sf9       en  den    ydata   yddata
 V1001006  S.F.Mughabghab  2006  2-HE-3  --  RECOM 2.53E-02  NAN 3.10E+00 1.30E-01



2-He-4 (n,el)
# Evaluated data (n,el)
#     7.90E-01 (+/-  2.00E-02)
# EXFOR data mean
#     7.73E-01 (+/-  9.00E-03)
# EXFOR MXW/SPA data mean
#          NAN (+/-       NAN)
# ------ EXFOR data ------
  dataset firstauthor  year     sf4 sf8 sf9       en  den    ydata   yddata
 10017006  D.C.Rorer+  1969  2-HE-4  --  -- 2.53E-02  NAN 7.73E-01 9.00E-03
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year     sf4 sf8    sf9       en  den    ydata   yddata
 21227003        R.Genin+  1963  2-HE-4  --  DERIV 2.53E-02  NAN 7.20E-01 3.00E-02
