88-Ra-223 (n,f)
# Evaluated data (n,f)
#     7.00E-01 (+/-  3.00E-01)
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#     5.04E+01 (+/-  3.50E+00)
# ------ EXFOR data ------
# ------ MXW/SPA data ------
  dataset  firstauthor  year sf4  sf8 sf9       en  den    ydata   yddata
 12249002  S.Peterson+  1947  --  MXW  -- 2.53E-02  NAN 1.00E+02      NAN
 30142002    H.C.Jain+  1967  --  SPA  -- 2.53E-02  NAN 7.00E-01 3.50E+00
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year sf4 sf8    sf9       en  den    ydata   yddata
 V1002545  S.F.Mughabghab  2006  --  --  RECOM 2.53E-02  NAN 7.00E-01 3.00E-01



88-Ra-226 (n,f)
# Evaluated data (n,f)
#     5.00E-05 (+/-       NAN)
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#     1.57E-04 (+/-       NAN)
# ------ EXFOR data ------
# ------ MXW/SPA data ------
  dataset  firstauthor  year sf4  sf8 sf9       en  den    ydata  yddata
 12248002      D.Ames+  1947  --  MXW  -- 2.53E-02  NAN 1.10E-04     NAN
 20525002  H.Nakahara+  1974  --  MXW  -- 2.53E-02  NAN 4.60E-04     NAN
 21555002  H.Nakahara+  1976  --  MXW  -- 2.53E-02  NAN 7.00E-06     NAN
 41628002    I.M.Kuks+  1978  --  SPA  -- 2.53E-02  NAN 5.00E-05     NAN
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year sf4 sf8    sf9       en  den    ydata  yddata
 V1002547  S.F.Mughabghab  2006  --  --  RECOM 2.53E-02  NAN 5.00E-05     NAN



88-Ra-228 (n,f)
# Evaluated data (n,f)
#     2.00E+00 (+/-       NAN)
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#     2.00E+00 (+/-       NAN)
# ------ EXFOR data ------
# ------ MXW/SPA data ------
  dataset  firstauthor  year sf4  sf8 sf9       en  den    ydata  yddata
 12249004  S.Peterson+  1947  --  MXW  -- 2.53E-02  NAN 2.00E+00     NAN
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year sf4 sf8    sf9       en  den    ydata  yddata
 V1002549  S.F.Mughabghab  2006  --  --  RECOM 2.53E-02  NAN 2.00E+00     NAN



89-Ac-227 (n,f)
# Evaluated data (n,f)
#     2.90E-04 (+/-       NAN)
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#     2.00E+00 (+/-       NAN)
# ------ EXFOR data ------
# ------ MXW/SPA data ------
  dataset  firstauthor  year sf4  sf8 sf9       en  den    ydata  yddata
 12249003  S.Peterson+  1947  --  MXW  -- 2.53E-02  NAN 2.00E+00     NAN
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year sf4  sf8    sf9       en  den    ydata   yddata
 20351002   P.Del marmol+  1973  --  MXW  DERIV 2.53E-02  NAN 3.50E-04      NAN
 20351006   P.Del marmol+  1973  --  MXW  DERIV 2.53E-02  NAN 1.25E-04 1.64E-04
 20351007   P.Del marmol+  1973  --  MXW  DERIV 2.53E-02  NAN 3.35E-04 6.80E-05
 V1002550  S.F.Mughabghab  2006  --   --  RECOM 2.53E-02  NAN 2.90E-04      NAN



89-Ac-228 (n,f)
# no Evaluated data
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
